codigo_articulo,categoria,existencias_iniciales,total_entradas,total_salidas,existencias_actuales,tasa_rotacion,tiene_precio,tiene_proveedor,frecuencia_salidas,frecuencia_entradas,necesita_reposicion,origen
SINT0866,Limpieza,39.0,3.0,1.74,40.26,0.0414,0,0,1,4,0,sintetico
0128CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0207AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0903,"Condimentos, Salsas, cremas",48.0,0.0,1.42,46.58,0.0296,0,0,3,3,0,sintetico
0054ME,Menestras,3.0,0.0,0.0,3.0,0.0,0,1,0,0,1,real
SINT0170,Azucar,6.0,8.0,10.91,3.4,0.7624,0,0,4,1,1,sintetico
0551VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0070ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0911,Limpieza,6.0,1.0,1.16,5.84,0.1657,0,0,1,3,0,sintetico
0513AV,Aves,0.0,1.5,0.0,1.5,0.0,1,0,0,2,1,real
SINT0851,"Mermelada, mantequilla",33.0,2.0,2.28,32.72,0.0651,0,0,2,4,0,sintetico
0332GE,"Gelatina, postres",107.0,0.0,35.0,72.0,0.32710280373831774,0,0,9,0,0,real
SINT0097,Cereal,10.0,5.0,11.4,3.6,0.76,0,0,4,0,1,sintetico
0186AZ,Azucar,2.0,9.0,0.0,11.0,0.0,1,0,0,7,0,real
0140CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0305,Cerdo,0.0,3.0,6.18,-3.18,2.06,0,1,9,1,1,sintetico
SINT0978,"Condimentos, Salsas, cremas",20.0,0.0,0.12,19.88,0.006,0,0,4,7,0,sintetico
0135CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0082ME,Menestras,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,real
SINT0672,Limpieza,26.0,9.0,2.76,32.24,0.0789,0,0,1,2,0,sintetico
0107AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0517,Menestras,29.0,1.0,0.16,29.84,0.0053,0,0,4,3,0,sintetico
0547VA,Vacuno,2.0,5.15,0.0,7.15,0.0,0,1,0,2,0,real
SINT0379,Menestras,0.0,2.0,3.79,-1.79,1.895,0,1,7,3,1,sintetico
0486PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0168CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0250HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0309CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0450FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0991,Vacuno,45.0,2.0,1.13,45.87,0.024,0,0,3,4,0,sintetico
SINT0677,Aceite,2.0,6.0,2.7,5.3,0.3375,0,0,2,2,0,sintetico
0337GE,"Gelatina, postres",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0394,"Condimentos, Salsas, cremas",7.0,5.0,12.44,-0.44,1.0367,0,0,4,0,1,sintetico
SINT0361,Harina,0.0,5.0,10.16,-5.16,2.032,1,1,1,2,1,sintetico
0099AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0490,Fideos,21.0,1.0,0.33,21.67,0.015,0,0,4,3,0,sintetico
SINT0343,Cereal,0.0,0.0,0.18,-0.18,0.0,0,1,2,1,1,sintetico
SINT0221,Conserva,0.0,0.0,0.77,-0.77,0.0,0,0,5,1,1,sintetico
SINT0609,Azucar,27.0,0.0,0.4,26.6,0.0148,0,0,6,4,0,sintetico
SINT0487,Harina,45.0,6.0,2.44,48.56,0.0478,0,1,3,3,0,sintetico
0425MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0104AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0438FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0076ME,Menestras,11.0,3.0,0.0,14.0,0.0,1,1,0,2,0,real
SINT0389,Lacteos,0.0,0.0,0.83,-0.83,0.0,0,1,5,1,1,sintetico
SINT0344,"Condimentos, Salsas, cremas",0.0,0.0,0.4,-0.4,0.0,0,0,4,4,1,sintetico
SINT0760,Cereal,47.0,3.0,2.01,47.99,0.0402,0,0,4,3,0,sintetico
0231IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0683,"Condimentos, Salsas, cremas",40.0,6.0,3.07,42.93,0.0667,0,1,1,3,0,sintetico
SINT0333,Limpieza,0.0,0.0,2.13,-2.13,0.0,0,0,2,4,1,sintetico
0304CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0232,Conserva,0.0,6.0,14.24,-8.24,2.3733,0,0,5,2,1,sintetico
SINT0183,Fideos,5.0,0.0,0.83,3.85,0.1772,0,0,3,3,1,sintetico
SINT0857,Vacuno,43.0,0.0,1.34,41.66,0.0312,0,1,4,2,0,sintetico
SINT0914,"Mermelada, mantequilla",6.0,2.0,0.59,7.41,0.0738,0,1,1,6,0,sintetico
SINT0067,Lacteos,0.0,3.0,7.25,-4.25,2.4167,1,0,5,0,1,sintetico
SINT0023,"Condimentos, Salsas, cremas",4.0,0.0,0.34,3.28,0.0939,0,0,4,2,1,sintetico
0392IN,Infusion,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,real
0238HA,Harina,17.0,0.0,0.0,17.0,0.0,0,0,0,0,0,real
SINT0720,Vacuno,12.0,0.0,0.47,11.69,0.0386,0,0,3,2,0,sintetico
0270CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0307CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0615,Limpieza,14.0,0.0,0.49,13.51,0.035,0,1,4,4,0,sintetico
SINT0949,Vacuno,15.0,3.0,1.95,16.05,0.1083,0,0,5,2,0,sintetico
0120CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0780,"Mermelada, mantequilla",49.0,4.0,1.39,51.61,0.0262,0,0,1,2,0,sintetico
0680COR,Cordero,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,real
0251HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0075,Aceite,0.0,5.0,5.11,-0.11,1.022,0,1,5,1,1,sintetico
SINT0666,Snacks,40.0,2.0,1.48,40.52,0.0352,0,1,4,3,0,sintetico
0073ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0096AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0405,Limpieza,8.0,0.0,1.1,6.76,0.1399,0,0,2,3,0,sintetico
0034ME,Menestras,43.0,3.0,9.0,37.0,0.1956521739130435,1,0,3,3,0,real
SINT0892,Menestras,9.0,7.0,4.69,11.34,0.2925,1,0,4,6,0,sintetico
SINT0512,Fideos,3.0,5.0,2.14,5.6,0.2764,0,0,1,2,0,sintetico
SINT0400,Menestras,41.0,5.0,2.99,43.01,0.065,0,1,2,2,0,sintetico
0452SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0449FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0522,Menestras,2.0,7.0,2.37,6.21,0.2762,0,0,3,2,0,sintetico
SINT0584,Aves,14.0,4.0,3.61,14.53,0.199,0,1,4,3,0,sintetico
SINT0990,Limpieza,42.0,0.0,0.0,42.0,0.0,0,0,1,3,0,sintetico
SINT0862,Menestras,21.0,0.0,0.38,20.62,0.0181,0,0,0,3,0,sintetico
0001ME,Menestras,29.0,3.0,0.0,32.0,0.0,1,1,0,3,0,real
SINT0610,Huevos,11.0,1.0,0.78,11.22,0.065,0,0,2,3,0,sintetico
SINT0091,Aves,0.0,3.0,3.4,-0.4,1.1333,0,0,8,1,1,sintetico
0079ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0086ME,Menestras,0.0,0.0,3.0,-3.0,0.0,0,1,1,0,1,real
0147CR,Cereal,3.0,0.0,0.0,3.0,0.0,0,0,0,0,1,real
0084ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0462SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0051,Instantaneo,0.0,2.0,5.43,-3.43,2.715,0,0,6,2,1,sintetico
0683COR,Cordero,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0013,Menestras,1.0,7.0,14.28,-6.28,1.785,0,1,6,3,1,sintetico
SINT0022,Menestras,0.0,5.0,9.41,-4.41,1.882,0,0,5,2,1,sintetico
0440FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0451,Cerdo,13.0,0.0,0.83,12.17,0.0638,0,1,2,2,0,sintetico
SINT0948,Instantaneo,7.0,5.0,3.66,8.34,0.305,0,0,2,2,0,sintetico
0650LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0526,Menestras,4.0,7.0,2.04,9.46,0.1774,0,0,5,3,0,sintetico
SINT0090,Limpieza,0.0,8.0,9.07,-1.07,1.1338,0,0,6,1,1,sintetico
SINT0428,Infusion,19.0,5.0,2.81,21.19,0.1171,0,0,0,3,0,sintetico
SINT0856,Menestras,21.0,0.0,0.59,20.41,0.0281,0,1,3,4,0,sintetico
SINT0194,"Condimentos, Salsas, cremas",0.0,0.0,0.74,-0.74,0.0,0,1,2,2,1,sintetico
SINT0898,Cereal,21.0,0.0,0.43,20.57,0.0205,0,0,3,3,0,sintetico
0408LA,Lacteos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0410,Lacteos,9.0,7.0,2.83,12.91,0.1798,0,0,5,2,0,sintetico
SINT0817,Cereal,12.0,5.0,3.52,13.48,0.2071,0,0,2,3,0,sintetico
SINT0841,Fideos,5.0,4.0,2.79,6.26,0.3081,0,1,3,3,0,sintetico
0106AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0615LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0424,Menestras,39.0,7.0,4.38,41.62,0.0952,0,0,3,2,0,sintetico
SINT0478,"Condimentos, Salsas, cremas",6.0,0.0,0.13,5.71,0.0223,0,0,5,4,0,sintetico
SINT0136,Vacuno,0.0,10.0,13.94,-3.94,1.394,0,0,6,4,1,sintetico
SINT0611,Menestras,8.0,2.0,3.12,7.35,0.2979,0,0,4,2,0,sintetico
SINT0244,Limpieza,0.0,8.0,17.53,-9.53,2.1912,0,0,10,2,1,sintetico
SINT0602,Fideos,48.0,0.0,0.47,47.53,0.0098,0,0,2,3,0,sintetico
SINT0409,Fideos,19.0,0.0,0.29,18.71,0.0153,0,0,3,4,0,sintetico
0064ME,Menestras,45.0,0.0,0.0,45.0,0.0,0,1,0,0,0,real
0284CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0989,Menestras,6.0,9.0,3.51,11.49,0.234,0,0,5,4,0,sintetico
SINT0826,Infusion,27.0,3.0,1.14,28.86,0.038,0,1,1,4,0,sintetico
SINT0248,"Gelatina, postres",0.0,4.0,9.34,-5.34,2.335,0,0,3,4,1,sintetico
0241HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0226IN,Instantaneo,0.0,1.0,0.0,1.0,0.0,1,0,0,1,1,real
0148CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0216,"Condimentos, Salsas, cremas",0.0,5.0,10.55,-5.55,2.11,0,0,5,2,1,sintetico
0377IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0913,Infusion,12.0,0.0,0.16,11.84,0.0133,0,0,6,5,0,sintetico
SINT0335,Limpieza,4.0,4.0,4.97,3.24,0.6052,0,1,7,3,1,sintetico
0121CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0619,Vacuno,49.0,7.0,3.76,52.24,0.0671,0,0,6,6,0,sintetico
SINT0353,Menestras,9.0,7.0,12.09,3.91,0.7556,0,0,6,1,1,sintetico
0253HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0387,Menestras,9.0,11.0,15.98,3.53,0.8189,1,0,3,1,1,sintetico
SINT0103,Infusion,0.0,4.0,6.93,-2.93,1.7325,0,0,5,2,1,sintetico
SINT0968,Harina,35.0,6.0,5.18,35.82,0.1263,0,0,7,2,0,sintetico
0010ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0454SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0947,"Condimentos, Salsas, cremas",36.0,0.0,0.36,35.64,0.01,0,0,1,4,0,sintetico
0258HA,Harina,6.0,0.0,0.0,6.0,0.0,0,0,0,0,0,real
SINT0557,Cereal,25.0,5.0,2.2,27.8,0.0733,0,0,2,3,0,sintetico
0393IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0536,Cereal,49.0,2.0,0.99,50.01,0.0194,0,1,6,2,0,sintetico
SINT0109,Limpieza,0.0,3.0,5.64,-2.64,1.88,0,0,5,3,1,sintetico
SINT0267,Aves,0.0,7.0,16.16,-9.16,2.3086,0,0,4,0,1,sintetico
SINT0634,Instantaneo,41.0,0.0,0.44,40.56,0.0107,0,0,5,1,0,sintetico
0465SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0288,Menestras,0.0,4.0,11.65,-7.65,2.9125,0,1,6,4,1,sintetico
SINT0783,Huevos,32.0,6.0,1.24,36.76,0.0326,0,0,2,4,0,sintetico
0507AV,Aves,0.0,0.0,2.0,-2.0,0.0,1,0,1,0,1,real
SINT0296,Instantaneo,0.0,3.0,3.36,-0.36,1.12,0,0,8,2,1,sintetico
SINT0062,Lacteos,0.0,4.0,9.12,-5.12,2.28,0,0,4,1,1,sintetico
SINT0749,Cereal,22.0,4.0,0.85,25.15,0.0327,0,0,2,2,0,sintetico
SINT0261,Huevos,0.0,0.0,1.5,-1.5,0.0,0,0,7,2,1,sintetico
0545VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0761,"Condimentos, Salsas, cremas",20.0,0.0,0.13,19.87,0.0065,0,0,3,2,0,sintetico
SINT0497,Menestras,10.0,1.0,2.12,8.81,0.194,0,0,2,5,0,sintetico
SINT0564,Limpieza,23.0,4.0,1.45,25.55,0.0537,0,0,4,2,0,sintetico
SINT0895,Lacteos,6.0,0.0,0.55,5.45,0.0917,0,1,1,3,0,sintetico
0376IN,Infusion,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,real
0674EM,Otros,0.0,2.0,0.0,2.0,0.0,1,0,0,2,1,real
SINT0577,Aves,32.0,8.0,3.03,36.97,0.0758,0,0,4,3,0,sintetico
0361FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0227,"Condimentos, Salsas, cremas",0.0,2.0,3.6,-1.6,1.8,0,0,5,2,1,sintetico
SINT0635,Cereal,10.0,6.0,3.97,12.32,0.2438,0,0,3,3,0,sintetico
SINT0617,Harina,10.0,6.0,2.12,13.88,0.1325,0,0,2,2,0,sintetico
SINT0300,Limpieza,0.0,8.0,10.86,-2.86,1.3575,0,0,5,1,1,sintetico
SINT0796,Infusion,47.0,5.0,3.95,48.05,0.076,1,0,3,5,0,sintetico
SINT0322,Azucar,4.0,5.0,5.85,3.15,0.6501,1,0,6,3,1,sintetico
SINT0304,Aves,0.0,9.0,19.83,-10.83,2.2033,0,0,6,4,1,sintetico
SINT0889,Limpieza,9.0,0.0,0.41,8.59,0.0456,0,1,3,3,0,sintetico
SINT0915,"Condimentos, Salsas, cremas",50.0,6.0,2.84,53.16,0.0507,0,0,2,2,0,sintetico
SINT0373,Azucar,9.0,8.0,12.62,3.89,0.7646,0,0,3,1,1,sintetico
SINT0165,Lacteos,0.0,4.0,9.53,-5.53,2.3825,0,0,3,1,1,sintetico
0081ME,Menestras,11.0,0.0,3.0,8.0,0.2727272727272727,0,1,1,0,0,real
SINT0055,"Mermelada, mantequilla",0.0,0.0,0.25,-0.25,0.0,0,1,3,5,1,sintetico
SINT0926,"Condimentos, Salsas, cremas",11.0,4.0,1.53,13.47,0.102,0,0,4,2,0,sintetico
0678EM,Otros,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0606,Infusion,27.0,0.0,2.5,24.5,0.0926,1,0,7,4,0,sintetico
0059ME,Menestras,3.0,0.0,3.0,0.0,1.0,0,1,1,0,1,real
0136CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0398,Aceite,0.0,3.0,7.03,-4.03,2.3433,0,0,8,2,1,sintetico
SINT0637,Menestras,20.0,3.0,4.23,18.77,0.1839,0,1,3,5,0,sintetico
SINT0893,Menestras,33.0,0.0,1.03,31.97,0.0312,0,0,3,2,0,sintetico
0510AV,Aves,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0540,Menestras,28.0,12.0,6.75,33.25,0.1688,0,1,3,5,0,sintetico
0350FI,Fideos,4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real
0390IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0420,Frutos secos,16.0,0.0,0.75,15.25,0.0469,0,0,4,4,0,sintetico
SINT0331,Aceite,0.0,6.0,8.03,-2.03,1.3383,0,0,4,1,1,sintetico
SINT0321,Aves,0.0,0.0,1.63,-1.63,0.0,0,0,3,0,1,sintetico
SINT0201,Limpieza,0.0,0.0,0.99,-0.99,0.0,0,0,5,1,1,sintetico
0480HU,Huevos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0057,Menestras,0.0,5.0,9.3,-4.3,1.86,0,1,4,3,1,sintetico
SINT0100,Limpieza,0.0,0.0,0.14,-0.14,0.0,0,1,4,0,1,sintetico
0658LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0175CR,Cereal,0.0,20.0,0.0,20.0,0.0,0,0,0,1,0,real
0039ME,Menestras,0.0,8.0,0.0,8.0,0.0,1,0,0,6,0,real
SINT0370,Limpieza,0.0,4.0,6.94,-2.94,1.735,0,0,6,1,1,sintetico
0092AC,Aceite,7.0,0.0,0.0,7.0,0.0,0,1,0,0,0,real
SINT0818,"Condimentos, Salsas, cremas",2.0,6.0,2.33,5.67,0.2912,0,0,2,3,0,sintetico
SINT0332,Limpieza,0.0,0.0,0.08,-0.08,0.0,0,0,2,1,1,sintetico
SINT0393,Instantaneo,3.0,6.0,9.93,-0.93,1.1033,0,0,4,3,1,sintetico
SINT0961,Aves,20.0,7.0,4.4,22.6,0.163,0,0,4,1,0,sintetico
SINT0560,Conserva,16.0,2.0,1.84,16.16,0.1022,0,0,3,3,0,sintetico
0505AV,Aves,0.0,3.0,0.0,3.0,0.0,0,1,0,1,1,real
0341GE,"Gelatina, postres",4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real
0029ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0354,Limpieza,0.0,0.0,0.51,-0.51,0.0,0,0,3,0,1,sintetico
SINT0804,Menestras,26.0,0.0,0.47,25.53,0.0181,0,0,5,5,0,sintetico
SINT0798,Aves,35.0,0.0,0.47,34.53,0.0134,0,0,5,1,0,sintetico
0172CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0575,"Condimentos, Salsas, cremas",42.0,6.0,2.69,45.31,0.056,0,0,5,1,0,sintetico
0497AV,Aves,0.0,5.035,0.0,5.035,0.0,0,1,0,3,0,real
SINT0523,Vacuno,46.0,4.0,1.54,48.46,0.0308,0,0,2,2,0,sintetico
SINT0518,Conserva,31.0,0.0,0.03,30.97,0.001,0,0,1,2,0,sintetico
SINT0069,Huevos,0.0,7.0,6.38,0.62,0.9114,0,0,3,1,1,sintetico
0593LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0493,"Condimentos, Salsas, cremas",45.0,3.0,2.12,45.88,0.0442,0,0,2,3,0,sintetico
0663LI,Otros,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0237HA,Harina,5.0,0.0,0.0,5.0,0.0,0,0,0,0,0,real
SINT0578,Menestras,42.0,4.0,1.89,44.11,0.0411,0,0,4,7,0,sintetico
SINT0693,Conserva,42.0,7.0,4.61,44.39,0.0941,0,1,1,3,0,sintetico
SINT0303,Harina,0.0,6.0,13.05,-7.05,2.175,0,0,3,3,1,sintetico
SINT0323,Menestras,0.0,4.0,7.12,-3.12,1.78,0,0,4,1,1,sintetico
SINT0500,Menestras,38.0,4.0,2.81,39.19,0.0669,1,0,1,5,0,sintetico
0110AC,Aceite,5.0,0.0,0.0,5.0,0.0,0,1,0,0,0,real
SINT0646,Cereal,14.0,0.0,0.41,13.59,0.0293,1,0,3,3,0,sintetico
0574LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0141,Menestras,0.0,0.0,1.75,-1.75,0.0,0,1,4,2,1,sintetico
SINT0631,Menestras,0.0,10.0,2.86,7.14,0.286,0,1,2,5,0,sintetico
SINT0852,Infusion,36.0,0.0,0.98,35.02,0.0272,0,0,3,5,0,sintetico
SINT0163,Vacuno,1.0,9.0,16.55,-6.55,1.655,0,0,3,0,1,sintetico
SINT0117,Menestras,5.0,0.0,2.13,2.87,0.426,0,0,3,0,1,sintetico
SINT0596,Limpieza,35.0,0.0,2.33,32.67,0.0666,0,0,0,2,0,sintetico
SINT0524,Instantaneo,43.0,0.0,0.46,42.54,0.0107,0,0,1,3,0,sintetico
SINT0479,Menestras,35.0,5.0,1.96,38.04,0.049,0,0,2,4,0,sintetico
SINT0030,Harina,6.0,6.0,8.36,3.26,0.7197,0,0,5,1,1,sintetico
SINT0901,Cereal,8.0,9.0,2.91,14.09,0.1712,0,0,4,6,0,sintetico
0459SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0267CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0077ME,Menestras,7.0,0.0,0.0,7.0,0.0,0,1,0,0,0,real
0448FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0399LA,Lacteos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0179CR,Cereal,1.0,0.0,0.5,0.5,0.5,0,0,1,0,1,real
SINT0450,Limpieza,37.0,3.0,2.58,37.42,0.0645,0,1,4,5,0,sintetico
SINT0632,Menestras,8.0,0.0,0.32,7.68,0.04,0,1,4,2,0,sintetico
SINT0444,Infusion,47.0,6.0,3.83,49.17,0.0723,0,0,1,1,0,sintetico
SINT0605,Lacteos,25.0,9.0,4.43,29.57,0.1303,0,1,4,5,0,sintetico
0601LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0063ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0199,Instantaneo,0.0,0.0,0.7,-0.7,0.0,0,0,5,2,1,sintetico
SINT0149,Menestras,0.0,0.0,0.78,-0.78,0.0,0,0,6,1,1,sintetico
SINT0295,Vacuno,0.0,6.0,13.19,-7.19,2.1983,1,0,3,1,1,sintetico
0281CN,"Condimentos, Salsas, cremas",36.0,0.0,0.0,36.0,0.0,0,0,0,0,0,real
0037ME,Menestras,12.0,0.0,0.0,12.0,0.0,0,0,0,0,0,real
0669EM,Embutidos,0.0,6.0,0.0,6.0,0.0,0,0,0,1,0,real
SINT0217,Aceite,0.0,0.0,2.87,-2.87,0.0,0,0,3,2,1,sintetico
SINT0068,Limpieza,0.0,4.0,10.08,-6.08,2.52,0,0,5,4,1,sintetico
SINT0007,Snacks,0.0,7.0,12.54,-5.54,1.7914,0,1,6,0,1,sintetico
SINT0224,Menestras,0.0,6.0,11.3,-5.3,1.8833,0,0,4,1,1,sintetico
SINT0820,Limpieza,9.0,2.0,2.93,8.0,0.2681,0,1,3,3,0,sintetico
0194AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0003,Conserva,9.0,5.0,9.52,4.48,0.68,0,1,3,1,1,sintetico
0461SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0682COR,Cordero,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0066,Limpieza,0.0,0.0,1.82,-1.82,0.0,0,0,5,2,1,sintetico
SINT0128,Limpieza,0.0,1.0,3.8,-2.8,3.8,0,1,3,3,1,sintetico
SINT0837,"Condimentos, Salsas, cremas",45.0,0.0,0.18,44.82,0.004,0,0,5,4,0,sintetico
0416LA,Lacteos,0.0,36.0,0.0,36.0,0.0,0,0,0,2,0,real
SINT0447,Limpieza,28.0,0.0,1.55,26.45,0.0554,0,0,1,2,0,sintetico
SINT0810,Aves,22.0,3.0,1.88,23.12,0.0752,1,0,1,3,0,sintetico
0622LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0117CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0421MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0561,Vacuno,8.0,6.0,5.36,8.64,0.3829,0,0,5,7,0,sintetico
SINT0946,Cereal,45.0,2.0,1.6,45.4,0.034,0,0,5,1,0,sintetico
0610LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0454,Cereal,35.0,10.0,4.05,40.95,0.09,0,1,2,2,0,sintetico
0091AC,Aceite,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,real
SINT0310,Cereal,0.0,5.0,5.46,-0.46,1.092,0,0,2,2,1,sintetico
SINT0569,Menestras,16.0,0.0,0.9,15.1,0.0562,0,0,2,4,0,sintetico
SINT0427,Menestras,12.0,0.0,1.11,10.68,0.0942,0,0,7,2,0,sintetico
SINT0292,Lacteos,4.0,4.0,3.67,3.91,0.4841,0,1,4,2,1,sintetico
0504AV,Aves,0.0,4.0,0.0,4.0,0.0,1,1,0,1,1,real
0012ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0400LA,Lacteos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0287CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0132,Limpieza,7.0,3.0,6.57,3.83,0.6315,0,1,5,3,1,sintetico
SINT0076,Instantaneo,7.0,8.0,11.67,3.63,0.7629,0,0,7,2,1,sintetico
SINT0654,Menestras,35.0,4.0,4.07,34.93,0.1044,0,0,2,3,0,sintetico
SINT0748,"Condimentos, Salsas, cremas",42.0,1.0,1.96,41.04,0.0456,0,0,4,2,0,sintetico
SINT0811,Conserva,4.0,4.0,2.18,5.79,0.2736,1,0,4,5,0,sintetico
SINT0110,Menestras,0.0,0.0,0.04,-0.04,0.0,0,0,3,3,1,sintetico
0162CR,Cereal,20.0,0.0,0.0,20.0,0.0,0,0,0,0,0,real
SINT0664,Harina,15.0,7.0,4.84,17.16,0.22,0,0,2,3,0,sintetico
SINT0967,Frutos secos,31.0,9.0,4.74,35.26,0.1185,0,0,2,4,0,sintetico
