codigo_articulo,nombre_producto,presentacion,unidad_medida,categoria,categoria_general,origen,es_producto
SINT0183,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0857,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0914,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0067,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0023,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0392IN,Boldo 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
0238HA,Harina preparada 1 kg,1 kg,kg,Harina,Cereales y farináceos,real,True
SINT0720,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0270CN,Sal Maras 1 kg,1 kg,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0307CN,ACHIOTE EN GRANO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0615,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0949,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0120CO,Lomo de atun agua lata,lata,lata,Conserva,Conservas,real,True
SINT0780,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0680COR,Cordero en trozo,,kg,Cordero,Cárnicos y pescados,real,True
0251HA,Harina de arroz glutinoso 200 gr,200 gr,kg,Harina,Cereales y farináceos,real,True
SINT0075,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0666,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
0073ME,Quinua Roja 1 kg,1 kg,kg,Menestras,Menestras,real,True
0096AC,Aceite Soya 5 lt,5 lt,litro,Aceite,Abarrotes,real,True
SINT0405,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0034ME,Lenteja 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0892,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0512,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0400,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0452SN,Galletas saladas,,paquete,Snacks,Snacks y dulces,real,True
0449FS,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,real,False
SINT0522,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0584,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0990,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0862,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0001ME,Arverja partida 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0610,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,sintetico,False
SINT0091,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0079ME,Soya kg,,kg,Menestras,Menestras,real,True
0086ME,Semola 500 gr,500 gr,kg,Menestras,Menestras,real,True
0147CR,Avena precocida 380 gr,380 gr,kg,Cereal,Cereales y farináceos,real,True
0084ME,Trigo 50 kg,50 kg,kg,Menestras,Menestras,real,True
0462SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
SINT0051,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0683COR,Registro técnico (sin descripción),,kg,Cordero,Cárnicos y pescados,real,False
SINT0013,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0022,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0440FS,Almedras,,kg,Frutos secos,Snacks y dulces,real,True
SINT0451,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0948,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0650LI,Papel higienico triple hoja,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0526,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0090,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0428,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0856,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0194,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0898,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0408LA,Leche 390 bolsitarro descremada,,lata,Lacteos,Lácteos,real,True
SINT0410,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0817,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0841,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0106AC,Aceite de Coco 200 gr,200 gr,litro,Aceite,Abarrotes,real,True
0615LI,Desengrasante líquido 4 Lt,4 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0424,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0478,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0136,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0611,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0244,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0602,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0409,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0064ME,Pop Corn 500 gr,500 gr,kg,Menestras,Menestras,real,True
0284CN,Vinagre tinto 500 ml,500 ml,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0989,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0826,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0248,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
0241HA,Harina de avena integral 200 gr,200 gr,kg,Harina,Cereales y farináceos,real,True
0226IN,Ecco Cebada 250 GR,250 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
0148CR,Avena 500 gr,500 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0216,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0377IN,Infusion dulces sueños 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0913,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0335,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0121CO,Solido de caballa lata,lata,lata,Conserva,Conservas,real,True
SINT0619,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0353,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0253HA,Harina de trigo integral 500 gr,500 gr,kg,Harina,Cereales y farináceos,real,True
SINT0387,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0103,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0968,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0010ME,Frejol Caballlero 1 kg,1 kg,kg,Menestras,Menestras,real,True
0454SN,Galleta con cereales,,paquete,Snacks,Snacks y dulces,real,True
SINT0947,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0258HA,Chuño 5kg,5 kg,kg,Harina,Cereales y farináceos,real,True
SINT0557,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0393IN,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,real,False
SINT0536,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0109,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0267,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0634,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0465SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
SINT0288,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0783,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,sintetico,False
0507AV,Pavo de 7 kl,7 kg,kg,Aves,Avícolas,real,True
SINT0296,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0062,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0749,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0261,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,sintetico,False
0545VA,Lomo Fino,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0761,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0497,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0564,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0895,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0376IN,Infusion digestiva 50 und,50 und,caja,Infusion,Bebidas e infusiones,real,True
0674EM,Hot dog pavo,,unidad,Otros,Otros,real,True
SINT0577,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0361FI,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,real,False
SINT0227,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0635,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0617,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0300,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0796,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0322,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0304,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0889,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0915,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0373,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0165,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0081ME,Trigo 1 kg,1 kg,kg,Menestras,Menestras,real,True
SINT0055,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0926,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0678EM,Registro técnico (sin descripción),,unidad,Otros,Otros,real,False
SINT0606,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0059ME,Papa Seca 1 kg,1 kg,kg,Menestras,Menestras,real,True
0136CO,Pure de manzana 370 gr,370 gr,lata,Conserva,Conservas,real,True
SINT0398,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0637,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0893,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0510AV,Pechuga de pavo,,kg,Aves,Avícolas,real,True
SINT0540,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0350FI,Fideo corto 4kl,4 kg,kg,Fideos,Cereales y farináceos,real,True
0390IN,Cola de Caballo,,caja,Infusion,Bebidas e infusiones,real,True
SINT0420,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0331,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0321,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0201,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0480HU,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,real,False
SINT0057,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0100,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0658LI,Limpiador de crema multiusos,,unidad,Limpieza,Limpieza e higiene,real,True
0175CR,Hojuela 275 gr,275 gr,kg,Cereal,Cereales y farináceos,real,True
0039ME,Lenteja BB 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0370,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0092AC,Aceite Vegetal 5 lt,5 lt,litro,Aceite,Abarrotes,real,True
SINT0818,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0332,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0393,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0961,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0560,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0505AV,Milanesa de pollo,,kg,Aves,Avícolas,real,True
0341GE,Mazamorra morada,,unidad,"Gelatina, postres",Snacks y dulces,real,True
0029ME,Frejol Rojo 1 kl,1 kg,kg,Menestras,Menestras,real,True
SINT0354,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0804,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0798,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0172CR,Granola 1 kg,1 kg,kg,Cereal,Cereales y farináceos,real,True
SINT0575,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0497AV,Pollo piernas c/ encuentro bandeja,bandeja,kg,Aves,Avícolas,real,True
SINT0523,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0518,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0069,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,sintetico,False
0593LI,Lejía líquida color 1 lt,1 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0493,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0663LI,Registro técnico (sin descripción),,unidad,Otros,Otros,real,False
0237HA,Harina trigo 10 kl,10 kg,kg,Harina,Cereales y farináceos,real,True
SINT0578,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0693,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0303,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0323,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0500,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0110AC,Aceite 18 lt (balde),18 lt,litro,Aceite,Abarrotes,real,True
SINT0646,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0574LI,Jabon liquido para ropa 4 L,4 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0141,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0631,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0852,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0163,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0117,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0596,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0524,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0479,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0030,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0901,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0459SN,Gaseosa 3lt,3 lt,paquete,Snacks,Snacks y dulces,real,True
0267CN,Sal rosada 500 gr,500 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0077ME,Soya 500 gr,500 gr,kg,Menestras,Menestras,real,True
0448FS,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,real,False
0399LA,Leche Ligth 900 ml cJaja,900 ml,lata,Lacteos,Lácteos,real,True
0179CR,Cebada kg,,kg,Cereal,Cereales y farináceos,real,True
SINT0450,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0632,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0444,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0605,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0601LI,Blanqueador en polvo grande,,unidad,Limpieza,Limpieza e higiene,real,True
0063ME,Pop Corn 1 kl,1 kg,kg,Menestras,Menestras,real,True
SINT0199,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0149,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0295,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0281CN,Vinagre blanco 500 ml,500 ml,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0037ME,Lenteja 10 kg,10 kg,kg,Menestras,Menestras,real,True
0669EM,Chorizo Preco x 4,,paquete,Embutidos,Cárnicos y pescados,real,True
SINT0217,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0068,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0007,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0224,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0820,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0194AZ,Azucar rubia 50 kg,50 kg,kg,Azucar,Abarrotes,real,True
SINT0003,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0461SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
0682COR,Registro técnico (sin descripción),,kg,Cordero,Cárnicos y pescados,real,False
SINT0066,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0128,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0837,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0416LA,Yogurt 2lt,2 lt,lata,Lacteos,Lácteos,real,True
SINT0447,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0810,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0622LI,Lavavajilla 300 ml,300 ml,unidad,Limpieza,Limpieza e higiene,real,True
0117CO,Trozo de atun agua lata,lata,lata,Conserva,Conservas,real,True
0421MR,Mermelada 180 gr,180 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
SINT0561,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0946,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0610LI,Limpiavidrios en spray 650 ml,650 ml,unidad,Limpieza,Limpieza e higiene,real,True
SINT0454,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0091AC,Aceite Vegetal 3 lt,3 lt,litro,Aceite,Abarrotes,real,True
SINT0310,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0569,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0427,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0292,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0504AV,Pollo saborizado,,kg,Aves,Avícolas,real,True
0012ME,Frejol Caballlero 10 kl,10 kg,kg,Menestras,Menestras,real,True
0400LA,Leche descramada 900 mlcaja,caja,lata,Lacteos,Lácteos,real,True
0287CN,Vinagre balsamico 250 ml,250 ml,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0132,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0076,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0654,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0748,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0811,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0110,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0162CR,Arroz 50 kg,50 kg,kg,Cereal,Cereales y farináceos,real,True
SINT0664,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0967,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
0260HA,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,real,False
0338GE,Pudin chocolate,,unidad,"Gelatina, postres",Snacks y dulces,real,True
SINT0701,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0423,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0521CE,Chuleta de lomo,,kg,Cerdo,Cárnicos y pescados,real,True
SINT0706,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0327,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0347,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0275,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0116,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0372,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0527CE,Enrollado de cerdo,,kg,Cerdo,Cárnicos y pescados,real,True
0023ME,Frejol Negro 5 kl,5 kg,kg,Menestras,Menestras,real,True
0360FI,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,real,False
SINT0129,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0343GE,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,real,False
0435MR,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,real,False
0478HU,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,real,False
0220IN,Milo 380 gr lata,380 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
SINT0481,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0755,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0722,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0782,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0095AC,Aceite Soya 900 ml,900 ml,litro,Aceite,Abarrotes,real,True
SINT0133,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0041,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0264,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0883,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0574,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0352,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0156CR,Avena Kiwicha 500 gr,500 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0018,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0842,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
SINT0860,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0528,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0586LI,Lejía líquida 1 lt,1 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0210,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0284,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0279,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0493AV,Pollo fresco entero,,kg,Aves,Avícolas,real,True
0565LI,Detergente en polvo 5 Kg,5 kg,unidad,Limpieza,Limpieza e higiene,real,True
SINT0598,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0223,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0713,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0518CE,Panceta con hueso,,kg,Cerdo,Cárnicos y pescados,real,True
0639LI,Paño trapeador,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0466,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0095,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0092,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0823,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0119CO,Lomo de atun aceite lata,lata,lata,Conserva,Conservas,real,True
SINT0054,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0539,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0158,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0122CO,Filete de caballa lata,lata,lata,Conserva,Conservas,real,True
0662LI,Desinfectante 4lt,4 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0001,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
0641LI,Soda Caustica 5 lt,5 lt,unidad,Limpieza,Limpieza e higiene,real,True
0373IN,Flor Jamaica 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
0271CN,Sal Parrillera,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0661LI,Limpiador de porcelanato 10 l,10 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0519,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0281,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0365,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0048ME,Moron 5kl,5 kg,kg,Menestras,Menestras,real,True
SINT0496,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0581,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0208,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0787,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0188,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0102,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
